,_Collision Id,Borough Name,_Casualty Count,_Casualty Severity,Collision Location,Latitude,Longitude
7980,1240512317,Newham,1.0,Slight,"Location Uncertain A406 / A13 Beckton Roundabout, Near The Junction With Beckton Roundabout.",51.52647969545887,0.07333139030941858
7981,1240512318,Westminster,1.0,Serious,"On Parliament Street, 43 Metres North Of The Junction With Bridge Street.",51.50144561142182,-0.12608084693701102
7982,1240512319,Hillingdon,1.0,Slight,"On Breakspear Road North, 813 Metres South Of The Junction With Gilbert Road.",51.59628019331158,-0.46960276109308313
7983,1240512320,Tower Hamlets,1.0,Slight,"On Commercial Street, Near The Junction With Jerome Street.",51.52075119269498,-0.07490986105154615
7984,1240512321,Richmond-Upon-Thames,1.0,Slight,"On Lower Richmond Road, Near The Junction With Clifford Road.",51.469167617031886,-0.27587611036334375
7985,1240512322,Lewisham,1.0,Slight,"On Royal Parade, Near The Junction With Tranquil Vale.",51.46710873966128,0.006697982604184241
7986,1240512325,Tower Hamlets,1.0,Serious,"On Hackney Road, 66 Metres East Of The Junction With Warner Place.",51.53135231503968,-0.06500452677244663
7987,1240512327,Waltham Forest,1.0,Slight,"On Eastway, 400 Metres East Of The Junction With High Road Leyton. (Location Uncertain)",51.55742793287872,-0.004707232884286859
7988,1240512331,Enfield,1.0,Slight,"On Lavender Hill, Near The Junction With The Ridgeway, Enfield.",51.663433428899054,-0.1041207922215706
7989,1240512335,Sutton,1.0,Serious,"On Sutton Lane, Near The Junction With Downs Road .",51.3428074980449,-0.19428546410416034
7990,1240512337,Camden,1.0,Slight,"On High Holborn, Near The Junction With Southampton Road.",51.51761230441389,-0.12034383358676129
7991,1240512339,Enfield,1.0,Slight,"On Old Park Ridings , 100 Metres South Of The Junction With The Chine N212Eg.",51.64524974547724,-0.09239123389861571
7992,1240512341,Bromley,1.0,Serious,"On Southfleet Road, Near The Junction With Otterden Close.",51.36530974672279,0.08700317119525196
7993,1240512342,Ealing,1.0,Slight,"On Church Road, 30 Metres North Of The Junction With Alderny Gardens .",51.54414738115649,-0.3742391279849073
7994,1240512344,Bromley,1.0,Slight,"Location Uncertain  Hillview Road, 100 Metres South Of The Junction With Hillview Road.",51.37456104339585,0.09016836159497367
